"state","county","flyway","flock_type","species","subtype","date","flock_size"
"Minnesota","Pope","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-03-04,44000
"Oregon","Deschutes","Pacific","Backyard","mixed poultry","EA/AM-H5N2",2015-02-17,70
"California","Kings","Pacific","Commercial","chicken","EA-H5N8",2015-02-12,112900
"Washington","Okanogan","Pacific","Backyard","chicken","EA/AM-H5N2",2015-02-03,40
"Washington","Okanogan","Pacific","Backyard","pheasant","EA/AM-H5N2",2015-01-29,5830
"California","Stanislaus","Pacific","Commercial","turkey","EA-H5N8",2015-01-23,134400
"Washington","Clallam","Pacific","Backyard","mixed poultry","EA/AM-H5N2",2015-01-16,110
"Idaho","Canyon","Pacific","Backyard","mixed poultry","EA/AM-H5N2",2015-01-16,30
"Washington","Benton","Pacific","Backyard","mixed poultry","EA/AM-H5N2",2015-01-09,590
"Washington","Benton","Pacific","Backyard","mixed poultry","EA/AM-H5N2",2015-01-03,140
"Oregon","Douglas","Pacific","Backyard","mixed poultry","EA-H5N8",2014-12-19,130
